"","KO","names","Pathway"
"7034","K16328","pseudouridine kinase [EC:2.7.1.83]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"7035","K16329","pseudouridylate synthase [EC:4.2.1.70]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"7036","K16339","acyl-coenzyme A thioesterase THEM4 [EC:3.1.2.2]","Metabolism; Lipid metabolism; Fatty acid elongation | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway"
"7037","K16340","PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]","Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins"
"7038","K16343","calcium-independent phospholipase A2 [EC:3.1.1.4]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Metabolism; Lipid metabolism; Ether lipid metabolism | Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Lipid metabolism; Linoleic acid metabolism | Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism | Environmental Information Processing; Signal transduction; Ras signaling pathway | Organismal Systems; Circulatory system; Vascular smooth muscle contraction | Organismal Systems; Sensory system; Inflammatory mediator regulation of TRP channels"
"7039","K16345","xanthine permease XanP","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7040","K16346","xanthine permease XanQ","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7041","K16347","entericidin A","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7042","K16348","entericidin B","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7043","K16363","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]","Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"7044","K16365","small glutamine-rich tetratricopeptide repeat-containing protein alpha","Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"7045","K16368","diacylglycerol kinase (CTP) [EC:2.7.1.174]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"7046","K16370","6-phosphofructokinase 2 [EC:2.7.1.11]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Energy metabolism; Methane metabolism"
"7047","K16371","D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"7048","K16378","pipecolate-incorporating enzyme","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7049","K16379","cytochrome P450 C-9 hydroxylase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7050","K16381","31-O-methyltransferase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7051","K16382","polyene macrolide polyketide synthase, loading module","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7052","K16383","polyene macrolide polyketide synthase, A-type KR domains","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7053","K16384","polyene macrolide polyketide synthase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7054","K16385","polyene macrolide polyketide synthase, KS-AT-KR-ACP domains","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7055","K16387","polyene macrolide polyketide synthase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7056","K16388","polyene glycosyltransferase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7057","K16389","cytochrome P450 monooxygenase","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7058","K16394","epothilone polyketide synthase A","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7059","K16395","epothilone synthetase B","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7060","K16396","epothilone polyketide synthase C","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7061","K16400","cytochrome P450 enzyme","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7062","K16416","myxalamid-type nonribosomal peptide synthetase MxaA","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures | Brite Hierarchies; Protein families: metabolism; Polyketide biosynthesis proteins"
"7063","K16417","myxalamid-type polyketide synthase MxaC","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures | Brite Hierarchies; Protein families: metabolism; Polyketide biosynthesis proteins"
"7064","K16418","mycolactone core lactone polyketide synthase MlsA1","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures | Brite Hierarchies; Protein families: metabolism; Polyketide biosynthesis proteins"
"7065","K16420","rapamycin polyketide synthase A/B/C","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures"
"7066","K16422","4-hydroxymandelate oxidase [EC:1.1.3.46]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"7067","K16423","(S)-3,5-dihydroxyphenylglycine transaminase [EC:2.6.1.103]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"7068","K16426","dehydration protein DpgD","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7069","K16427","(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase [EC:1.13.11.80]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7070","K16428","nonribosomal peptide synthetase CepA","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7071","K16429","nonribosomal peptide synthetase CepB","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7072","K16430","nonribosomal peptide synthetase CepC","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7073","K16431","FAD-dependent halogenase [EC:1.14.19.-]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of enediyne antibiotics | Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7074","K16432","nonribosomal peptide synthetase CepK","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7075","K16433","hydroxylation protein CepL","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7076","K16436","dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose/dTDP-2,6-dideoxy-D-kanosamine transaminase [EC:2.6.1.- 2.6.1.106]","Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7077","K16437","methylation protein EvaC","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7078","K16444","vancomycin aglycone glucosyltransferase [EC:2.4.1.310]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics"
"7079","K16474","intraflagellar transport protein 88","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7080","K16484","rotatin","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7081","K16489","protein SFI1","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7082","K16495","protocadherin gamma subfamily A","Brite Hierarchies; Protein families: signaling and cellular processes; Cell adhesion molecules"
"7083","K16506","protocadherin Fat 1/2/3","Brite Hierarchies; Protein families: signaling and cellular processes; Exosome | Brite Hierarchies; Protein families: signaling and cellular processes; Cell adhesion molecules"
"7084","K16507","protocadherin-16/23","Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signal transduction; Hippo signaling pathway - multiple species | Brite Hierarchies; Protein families: signaling and cellular processes; Cell adhesion molecules"
"7085","K16509","regulatory protein spx","Not Included in Pathway or Brite; Unclassified: genetic information processing; Transcription"
"7086","K16511","adapter protein MecA 1/2","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"7087","K16514","4-oxalomesaconate tautomerase [EC:5.3.2.8]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation"
"7088","K16515","4-oxalomesaconate hydratase [EC:4.2.1.83]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation"
"7089","K16516","LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"7090","K16517","porin-like protein GalP","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7091","K16531","Bardet-Biedl syndrome 4 protein","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7092","K16552","polysaccharide biosynthesis/export protein ExoF","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7093","K16553","succinoglycan exporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7094","K16554","polysaccharide biosynthesis transport protein","Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7095","K16555","succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7096","K16556","succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7097","K16557","succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7098","K16558","succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7099","K16559","endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7100","K16560","succinoglycan biosynthesis protein ExoH","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7101","K16561","succinoglycan biosynthesis protein ExoI","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7102","K16562","succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7103","K16563","succinoglycan biosynthesis protein ExoV","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7104","K16564","succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7105","K16565","exopolysaccharide production repressor protein","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7106","K16566","exopolysaccharide production protein ExoY","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7107","K16567","exopolysaccharide production protein ExoQ","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7108","K16568","exopolysaccharide production protein ExoZ","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7109","K16571","gamma-tubulin complex component 4","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"7110","K16593","pimeloyl-[acyl-carrier protein] synthase [EC:1.14.14.46]","Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"7111","K16599","tubulin polyglutamylase TTLL1 [EC:6.-.-.-]","Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"7112","K16601","tubulin polyglutamylase TTLL4 [EC:6.-.-.-]","Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"7113","K16608","tubulin monoglycylase TTLL3/8 [EC:6.3.2.-]","Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"7114","K16619","phospholipase C / alpha-toxin [EC:3.1.4.3]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Metabolism; Lipid metabolism; Ether lipid metabolism | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins"
"7115","K16628","collagen, type VII, alpha","Organismal Systems; Digestive system; Protein digestion and absorption"
"7116","K16636","exoenzyme T","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins"
"7117","K16637","adenylate cyclase ExoY","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins"
"7118","K16638","exoenzyme U","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins"
"7119","K16648","arabinofuranan 3-O-arabinosyltransferase [EC:2.4.2.-]","Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7120","K16649","rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]","Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7121","K16650","galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase [EC:2.4.1.288]","Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7122","K16651","L-threonine kinase [EC:2.7.1.177]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"7123","K16652","decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7124","K16653","decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7125","K16669","protocadherin Fat 4","Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Environmental Information Processing; Signal transduction; Hippo signaling pathway - multiple species | Brite Hierarchies; Protein families: signaling and cellular processes; Cell adhesion molecules"
"7126","K16692","tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]","Brite Hierarchies; Protein families: metabolism; Protein kinases"
"7127","K16693","enterobacterial common antigen flippase","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7128","K16694","teichuronic acid exporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7129","K16695","lipopolysaccharide exporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7130","K16696","exopolysaccharide (amylovoran) exporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7131","K16697","teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7132","K16698","teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7133","K16699","teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7134","K16700","amylovoran biosynthesis glycosyltransferase AmsB [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7135","K16701","amylovoran biosynthesis glycosyltransferase AmsD [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7136","K16702","amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7137","K16703","colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7138","K16704","dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase [EC:2.3.1.210]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7139","K16705","teichuronic acid biosynthesis protein TuaE","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7140","K16707","UDP-galactose-lipid carrier transferase","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7141","K16708","amylovoran biosynthesis protein AmsC","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7142","K16709","amylovoran biosynthesis protein AmsF","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7143","K16710","colanic acid/amylovoran biosynthesis protein","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7144","K16711","colanic acid biosynthesis protein WcaM","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism"
"7145","K16726","ankyrin repeat domain-containing protein 17","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7146","K16783","biotin transport system permease protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7147","K16784","biotin transport system ATP-binding protein [EC:3.6.3.-]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7148","K16785","energy-coupling factor transport system permease protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7149","K16786","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7150","K16787","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7151","K16788","niacin transporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7152","K16789","thiamine transporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7153","K16792","methanogen homoaconitase large subunit [EC:4.2.1.114]","Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis"
"7154","K16794","platelet-activating factor acetylhydrolase IB subunit alpha","Metabolism; Lipid metabolism; Ether lipid metabolism | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"7155","K16795","platelet-activating factor acetylhydrolase IB subunit beta/gamma [EC:3.1.1.47]","Metabolism; Lipid metabolism; Ether lipid metabolism"
"7156","K16812","targeting protein for Xklp2","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7157","K16818","phospholipase A1 [EC:3.1.1.32]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism"
"7158","K16839","FAD-dependent urate hydroxylase [EC:1.14.13.113]","Metabolism; Nucleotide metabolism; Purine metabolism"
"7159","K16840","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]","Metabolism; Nucleotide metabolism; Purine metabolism"
"7160","K16841","allantoin racemase [EC:5.1.99.3]","Metabolism; Nucleotide metabolism; Purine metabolism"
"7161","K16842","allantoinase [EC:3.5.2.5]","Metabolism; Nucleotide metabolism; Purine metabolism"
"7162","K16843","(S)-sulfolactate dehydrogenase [EC:1.1.1.310]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"7163","K16844","(2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"7164","K16845","(2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"7165","K16846","(2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"7166","K16849","altronate dehydratase small subunit [EC:4.2.1.7]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"7167","K16850","altronate dehydratase large subunit [EC:4.2.1.7]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"7168","K16856","ureidoglycolate lyase [EC:4.3.2.3]","Metabolism; Nucleotide metabolism; Purine metabolism"
"7169","K16860","phospholipase D3/4 [EC:3.1.4.4]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Metabolism; Lipid metabolism; Ether lipid metabolism | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"7170","K16862","mitochondrial cardiolipin hydrolase [EC:3.1.4.-]","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7171","K16868","tellurite methyltransferase [EC:2.1.1.265]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7172","K16869","octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7173","K16870","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]","Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"7174","K16871","4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"
"7175","K16872","beta-ketodecanoyl-[acyl-carrier-protein] synthase [EC:2.3.1.207]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"7176","K16873","5-(hydroxymethyl)furfural/furfural oxidase [EC:1.1.3.47 1.1.3.-]","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7177","K16874","2,5-furandicarboxylate decarboxylase 1","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7178","K16875","2,5-furandicarboxylate decarboxylase 2","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7179","K16876","2-furoate---CoA ligase [EC:6.2.1.31]","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7180","K16877","2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7181","K16878","2-furoyl-CoA dehydrogenase FAD binding subunit [EC:1.3.99.8]","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7182","K16879","2-furoyl-CoA dehydrogenase 2Fe-2S iron sulfur subunit [EC:1.3.99.8]","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7183","K16880","2-oxoglutaroyl-CoA hydrolase","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation"
"7184","K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"7185","K16885","quinone-modifying oxidoreductase, subunit QmoA","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"7186","K16886","quinone-modifying oxidoreductase, subunit QmoB","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"7187","K16887","quinone-modifying oxidoreductase, subunit QmoC","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"7188","K16898","ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]","Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"7189","K16899","ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]","Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"7190","K16904","dCTP diphosphatase [EC:3.6.1.12]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"7191","K16907","fluoroquinolone transport system ATP-binding protein [EC:3.6.3.-]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7192","K16911","ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7193","K16914","bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 [EC:1.14.11.- 1.14.11.27]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"7194","K16915","nickel transport protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7195","K16917","putative peptide transport system ATP-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7196","K16922","putative peptide zinc metalloprotease protein","Brite Hierarchies; Protein families: metabolism; Peptidases"
"7197","K16923","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7198","K16924","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7199","K16925","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7200","K16926","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7201","K16927","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7202","K16928","energy-coupling factor transport system substrate-specific component","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7203","K16936","thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2]","Metabolism; Energy metabolism; Sulfur metabolism"
"7204","K16937","thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2]","Metabolism; Energy metabolism; Sulfur metabolism"
"7205","K16950","anaerobic sulfite reductase subunit A","Metabolism; Energy metabolism; Sulfur metabolism"
"7206","K16951","anaerobic sulfite reductase subunit B","Metabolism; Energy metabolism; Sulfur metabolism"
"7207","K16957","L-cystine transport system substrate-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7208","K16958","L-cystine transport system permease protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7209","K16959","L-cystine transport system permease protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7210","K16960","L-cystine transport system ATP-binding protein [EC:7.4.2.1]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7211","K16961","putative S-methylcysteine transport system substrate-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7212","K16962","putative S-methylcysteine transport system permease protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"7213","K16963","putative S-methylcysteine transport system ATP-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
